title,description,company,created_date
Principal Engineer,"Principal Engineer Roles & Responsibilities: Solve complex problems in a simple and scalable manner Actively drive discussions to improve product across engineering teams, wherever there are interdependencies across products Influence product requirements and operational plans while working with product manager to estimate and plan projects in the agile development framework Instill best practices for development and champion their adoption, mentor junior engineers in software design, coding practices, and TDD strategies Responsible for API Definitions, end-to-end service designs, and implementations Design applications in a true service-oriented architecture Develop object-oriented models and design data structures for new software projects taking system aspects into account Participate and contribute to discussions and decisions for creating and improving architecture across applications Make correct design choices in the context of the problem for data store, caching, search, scaling etc. Write good quality, modular, reusable, performant and well documented unit-tested code Identify the areas and approach to refactor and simplify the modules; refactor code to improve code quality that brings modularity and simplicity Translate high-level business problems into scalable design and code Perform code reviews, set coding practices and guidelines within the team Create common libraries and Utilities to be used by multiple engineering teams Requisites / Prerequisites: BE/ B. Tech or higher in Computer Science (Preferred) or related technical discipline (or equivalent) 7 to 10 years of experience in product based company Strong expertise in at least one programming language and tech stack for web development to write maintainable, scalable and unit-tested code Strong object-oriented design skills, knowledge of design patterns, data structures, and algorithms 3 plus years of experience developing in web services in the backend using languages like Java/Python. Deep understanding of Web Technologies and Deploying solutions on AWS. Experience in working with mysql and NoSql technologies like redis, mongodb etc. Experience in building large complex business applications Experience leading multi-engineered projects and mentoring junior engineers Experience with full life cycle development on a Linux/ubuntu platform Prior experience in working with Agile software methodologies (XP, Scrum) Knowledge of Test Driven Developments Interested in this position? Send your CV to careers@blackbuck.com",Droom,1 week ago
"SDE III, Android","SDE III, Android Roles & Responsibilities: Build and technically lead Android apps in terms of scale, performance, security, and design Actively participate in feature design Unit-test code for robustness, including edge cases, usability, and general reliability Take ownership of the features right from estimating timelines to Production release Carry out code reviews and mentor junior engineers Instill best practices from following MVP/MVVM patterns to using required Java design patterns within the application Understand the latest Android features and practices and lead the efforts towards its adoption within the team and across all mobile pods Follow SOPs of Agile methodologies & Sprint deliverables and drive the same within the team Interact with product managers, backend engineers to ensure timely and good quality launches Requisites / Prerequisites: Android Work Experience of between 5 to 8 years. BE/B.Tech from Tier 1 or Tier 2 institutions Strong understanding of Object Oriented Programming, data structures and design patterns Experience in developing B2C / B2B mobile applications Experience in memory management and in designing high-performance applications Strong Java, Design Patterns and OOPS knowledge and hands-on experience Experience in shipping applications through the Google play store Experienced in Android Material Design Basic SQL knowledge Experience in working with JUnits and other Unit Testing framework is a plus Experience in OpenGL and animations is a plus Interested in this position? Send your CV to careers@blackbuck.com",Amagi Media Labs,2 hours ago
"SDE III, Backend","SDE III, Backend Roles & Responsibilities: Actively drive discussions to improve product across engineering teams, wherever there are interdependencies across products Influence product requirements & operational plans while working with software development manager to estimate and plan projects in the agile development framework Instil best practices for development and champion their adoption, mentor junior engineers in software design, coding practices, and TDD strategies API Definitions and end-to-end service design and implementations Design applications in a true service-oriented architecture Develop Object-Oriented models and design Data Structure for new software projects taking systems aspects into account Participate and contribute to discussions and decisions for creating and improving architecture across applications Make correct design choices in the context of a problem for data store, caching, search, scaling etc. Write good quality, modular, reusable, performant, well documented, unit-tested code, identify the areas and approach to refactor and simplify the modules; refactor code to improve code quality and bring modularity and simplicity. Create common libraries and Utilities to be used by multiple engineering teams Requisites / Prerequisites: BE or higher in Computer Science or related technical discipline (or equivalent) Minimum 5 years of experience in product based company Strong expertise in at least one programming language and tech stack for web development to write maintainable and scalable unit-tested code Strong Object-Oriented design skills, knowledge of design patterns, data structures, and algorithms Strong expertise in working with relational and nosql databases Experience in building large complex business applications with only high-level tech guidance Experience leading multi-engineer projects and mentoring junior engineers Experience with full lifecycle development on a Linux/Ubuntu platform Prior experience in working with Agile software methodologies (XP, Scrum) Knowledge of Test Driven Development Interested in this position? Send your CV to careers@blackbuck.com",Sankalp,2 hours ago
"SDE II, Android","SDE II, Android Roles & Responsibilities: Develop independent modules from scratch while ensuring the quality of code Own multiple modules within the product from an engineering perspective Actively participate in feature design Unit-test code for robustness, including edge cases, usability, and general reliability Take ownership of the features assigned right from estimating timelines to Production release Carry out code reviews Instill best practices from following MVP/MVVM patterns, to using required Java design patterns within the application Understand the latest Android features and practices and lead the efforts towards its adoption within the team Requisites / Prerequisites: Android Work Experience of between 2 to 6 years. BE/B.Tech from Tier 1 or Tier 2 institutions Strong understanding of Object Oriented Programming, data structures, and design patterns Experience in developing B2C / B2B mobile applications Experience in memory management and in designing high-performance apps Strong Java, Design Patterns and OOPS knowledge and hands-on experience Experience in shipping applications through the Google play store Experienced in Android Material Design Interested in this position? Send your CV to careers@blackbuck.com",Logicserve Digital,1 months ago
"SDE II, Frontend","SDE II, Frontend Roles & Responsibilities: Design, lead, develop, deploy and support various web interfaces for B2B applications Build multiple web-based responsive interfaces for various internal and external customers Support multiple desktop/mobile browsers Design and develop fast and interactive web applications incorporating the best user experience patterns and technologies Build Real-time Analytics Dashboards that expose various stats and system events Work closely with Product Management, Design, and other engineers Requisites / Prerequisites: 2+ years of work experience in front-end development of B2B/B2C web applications Thorough understanding and experience in developing HTML5/CSS based single page web apps Strong knowledge of JavaScript libraries and frameworks like ReactJS, AngularJS, Backbone, and JQuery Experience with data-driven web development, including strong knowledge of JSON and AJAX Extensive use of APIs and a strong understanding of HTTP and REST architecture Ability to work in a dynamic and agile development environment, quickly developing concepts into prototypes Customer-centricity in building highly intuitive interfaces Full stack development expertise is a plus Experience in building responsive web apps is a plus Experience in cross-browser development and troubleshooting is a plus Interested in this position? Send your CV to careers@blackbuck.com",NoBroker,1 week ago
"SDE II, Backend","SDE II, Backend Roles & Responsibilities: Actively get involved in technical discussions with other engineering team members on design and technical implementation details Understand well-defined business use cases / PRD and design the solution for the business cases API Definitions and end-to-end service design and implementations Design applications in a true service-oriented architecture Develop object-oriented models and design data structure for new software projects taking systems aspects into account Make correct design choices in the context of a problem for data store, caching, search, scaling etc. Write good quality, modular, reusable, performant, well documented, unit-tested code Continuously refactor the code to improve code quality and bring modularity and simplicity in coding Requisites / Prerequisites: BE or higher in Computer Science or related technical discipline (or equivalent) Minimum of 3 years of experience Strong expertise in at least one programming language and tech stack for web development to write maintainable, scalable, unit-tested code Strong object-oriented design skills, knowledge of design patterns, data structures, and algorithms Strong expertise of working with relational and nosql databases Well-versed with Computer Science fundamentals Experience with full life cycle development on a Linux Knowledge of Test Driven Development Interested in this position? Send your CV to careers@blackbuck.com",Arth DesignBuild,1 months ago
Product Manager,"Product Manager Roles & Responsibilities: Defining, communicating and owning the product plan from conception to launch Analysing the results of a launch and creating the plan to iterate and build new features Ruthlessly prioritizing features based on business impact and available resources Proactively filling communication gaps amongst all team members – Good communication solves half the problem Growing and inspiring top performing team members even without direct authority Contributing to technical conversations around deadlines and engineering solutions Drive product research priorities for strategically important projects Make magic out of the complicated and antiquated freight industry through an intense focus on simplification and shipping minimal viable products quickly Requisites / Prerequisites: Bachelor’s degree (preferably in either computer science or a quantitative domain (math/stats)) 3+ years of relevant Product Management experience for B2C or B2B 5+ years of overall experience – software engineering experience before Product Management Experience communicating technical concepts to a non-technical audience Technical expertise and the ability to question, understand and challenge software implementation decisions and priorities Passionately curious to learn and adapt to dynamic research, development and industry knowledge A bold, optimistic, result-oriented personality: We are coming to work every day challenging the status quo, and we’re looking for people comfortable asking bold, quirky questions, along with the mental resilience to know we’re just at the start of a long journey Master’s degree in Business or Psychology will be a plus Track record of successfully launching software products from 0 to 1 on a large scale will be preferable Experience with products in Logistics/Transportation/Operations – building and/or selling will be a value add Interested in this position? Send your CV to careers@blackbuck.com",Droom,1 week ago
Product Analyst,"Product Analyst Roles & Responsibilities: End-to-end ownership of daily metrics, weekly metrics, and quarterly metrics. Work with each product manager to understand areas we need to measure and ensure the needle is moving in the direction in each of those areas. Identify areas of opportunities from metrics and work with ""Head of Products"" to assign areas of responsibilities for relevant teams Chase those relevant teams for driving the right analysis and getting back the relevant data Conduct self and/or push others to conduct analysis on projects/experiments and then help to drive important strategic decisions from the analysis Write SQL queries, perform data analysis, and create data visualizations to keep the nerve center of our engine running Automate reporting to provide visibility into different businesses - email reporting, dashboard reporting etc. Proactively define, develop and analyse new KPIs/metrics to help optimize execution and operations Requisites / Prerequisites: Hands on SQL experience Minimum 2 years of experience using data to facilitate business decisions Decent knowledge of Python is a plus Experience presenting data visually and selling ideas to leadership Excellent knowledge of all tools and functions of excel Excellent communication skills and attention to detail Drive to push oneself and others to get the metrics on time and delivery excellence to ensure the sanity of data Interested in this position? Send your CV to careers@blackbuck.com",Droom,2 hours ago
Data Scientist,"Data Scientist Roles & Responsibilities: Structure the available data to be able to better mine patterns and derive insights; BlackBuck’s network generates diverse data varying from clickstream/transactions data generated on our diverse set of apps to telemetry data generated via sensors/devices on our trucks. Build solutions for a wide range of problems leveraging advanced Machine Learning algorithms. Some of the problem areas are Vehicle tracking Route planning and optimization Marketplace demand shaping Insights across drivers, truck owners, and shippers Risk / Fraud modeling for our financial services Driver Behaviour monitoring etc. Work closely with our engineering and product teams to ensure the data science solutions are baked into the product Requisites / Prerequisites: Experience: 3-7 years post Bachelors with a minimum of 2 years’ experience in Data Scientist profile. Eligibility:​ ​B.Tech/M.Tech/PhD​ ​in​ ​CS/Statistics/Operations Research​ ​with​ ​demonstrated​ ​experience​ ​in​ ​ML/Statistics through​ ​papers/projects Techniques span from clustering, compression, classification, matrix factorization, probabilistic graphical models, networks algorithms, topic modeling, image processing, deep learning, linear and mixed-integer programming Interested in this position? Send your CV to careers@blackbuck.com",NoBroker,2 months ago
UI/UX Developer and Designer,"UI/UX Developer and Designer Roles & Responsibilities: Design and deliver rapid prototypes and mock-ups optimized for a wide range of devices and interfaces, predominantly mobile app Identify design problems and devise elegant solutions Make strategic design and user interface decisions related to core, and new functions and features Take a user-centered design approach, rapidly test and iterate designs Collaborate with other team members (Front-End/Android) and stakeholders Take smart risks and champion new ideas Quality check the final outcome to deliver a pixel-perfect experience Should take ownership of the complete User Interface Present design, communicate concepts and explain design choices Requisites / Prerequisites: Experience: 1-3 years in UI Understanding of Google Material Design guidelines, familiarity with Lean UX processes. Ability to work with highly core technical teams and handle multiple projects in a fast-paced early stage start-up environment Proficient in working with sketch, Photoshop, illustrator, and invision Behance or Dribble Portfolio required Experience in designing mobile apps for Indian audience would be preferred Compulsive problem-solvers with excellent visualization, collaboration, and communication skills Interested in this position? Send your CV to careers@blackbuck.com",Droom,2 months ago
